urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enermedic, Enerthings",Enerji Doktoru Sisteminde Tarife Değişikliği ve Kontrolü Nasıl Yapılır?,Enerji Doktoru sistemindeki mevcut tarifeler nasıl güncelleniyor?,Enerji Doktoru ve Enermedic sistemlerinde tanımlı mevcut tarifeler ENTES tarafından rutin olarak EPDK verilerine yönelik takipler yapılarak güncellenmektedir. Enerthings sisteminde ise tarifeler otomatik olarak güncelleme almamaktadır. Mevcut tanımlılara ek olarak müşteri kendine özel tarife tanımı yaparak ihtiyaç olması halinde manuel güncelleme yapabilir.,enerthings;tarife;epdk;enermedic;enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/983330/Enerji+Doktoru+Sisteminde+Tarife+De%C4%9Fi%C5%9Fikli%C4%9Fi+ve+Kontrol%C3%BC+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,"RGSR serisi, RGA serisi, RGP serisi",ENTES Reaktif Güç Kontrol Röleleri Nötr Bağlantı Olmayan Durumlarda Çalışır mı?,"Reaktif güç kontrol rölesinin kurulumunun yapılacağı işletmede nötr hattı bulunmamaktadır.
Bu durum rölenin çalışmasını etkiler mi? Eğer etkiliyorsa izolasyon trafosu durumu çözmemize yardımcı olur mu?","Reaktif güç kontrol röleleri 3 faz + nötr üzerinden aldığı bilgiye göre hesaplama yaparak çalışmaktadır.
Bu sebeple nötr olmayan sistemlerde kullanılamaz.
İzolasyon trafosu ile kullanımı da mümkün değildir. Bu sebeple reaktif güç kontrol rölelerinin kurulduğu sistemlerde 3 faz ve nötr bağlantısı olmak zorundadır.",nötr;rgsr-15s;rga-15s;rgp-15sr,https://destek.entes.com.tr/spaces/SP/pages/983407/ENTES+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6leleri+N%C3%B6tr+Ba%C4%9Flant%C4%B1+Olmayan+Durumlarda+%C3%87al%C4%B1%C5%9F%C4%B1r+m%C4%B1
Kompanzasyon Ürün Grubu,"RGA, RGSR",RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Akım Alarmı Oluştuğunda Kademe Koruması Nasıl Yapılır?,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Akım Alarmı Oluştuğunda Kademe Koruması Nasıl Yapılır?,"Cihazın ölçtüğü faz akımlarından herhangi biri kullanıcı tarafından ayarlanan alt ve üst limitin dışına çıkarsa, ayarlanan çekme gecikmesi sonucunda akım alarmı oluşur.
Cihazda Akım Alarmı Kademe Koruma “Aktif” olarak ayarlı ise, bu alarm oluştuğunda cihaz kademeleri korumak için tüm kademeleri devre dışı bırakır .
Alarm koşulu ortadan kalktığında ise ayarlı reset süresi sonunda sıfırlanır.",rga;reaktif;kompanzasyon;rgsr,https://destek.entes.com.tr/spaces/SP/pages/983586/RGA+RGSR+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Ak%C4%B1m+Alarm%C4%B1+Olu%C5%9Ftu%C4%9Funda+Kademe+Korumas%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Enerji Yönetimi Ürün Grubu,Entbus Pro,ENTBUS Pro ile Otomatik Raporlama Nasıl Yapılır?,ENTBUS Pro ile Otomatik Raporlama Nasıl Yapılır?,"""Raporlar"" menüsünden, ""Rapor Şablonu"" nu oluşturunuz.
Ekranın sonundaki, ""Otomatik Raporlama"" ara yüzünü açtıktan sonra, ""Yeni"" seçeneği seçilir. Oluşturulacak olan raporun hangi gün ve saatte oluşturulacağı seçildikten sonra ""Kaydet"" butonuna tıklamanız yeterli olacaktır.",rapor;entbuspro;otomatik,https://destek.entes.com.tr/spaces/SP/pages/983280/ENTBUS+Pro+ile+Otomatik+Raporlama+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,SC,Statik Kontaktörler Nasıl Tetiklenir?,Statik Kontaktörler Nasıl Tetiklenir?,SC serici statik kontaktörlerde tetikleme gerilimi harici olarak uygulanmaktadır. 10-30V DC şeklinde bir güç kaynağı kullanarak tetikleme yapılabilmektedir.,statik;kontaktör;sc,https://destek.entes.com.tr/spaces/SP/pages/983542/Statik+Kontakt%C3%B6rler+Nas%C4%B1l+Tetiklenir
Koruma & Kontrol Ürün Grubu,MCB,Programlanabilir Zaman Saatleri Nedir ve Ne Amaçla Kullanılır?,Programlanabilir Zaman Saatleri Nedir ve Ne Amaçla Kullanılır?,"Elektrikle çalışan ekipmanların belirlenen zaman dilimleri için günlük çalışmasını kontrol eden cihazlardır.
Analog (MCB-A) ve dijital (MCB-50) olarak iki farklı kullanım seçeneklerine sahiptir ve kullanıcının belirlemiş olduğu zaman dilimlerinde elektrikli cihazların günlük çalışmasını kontrol ederler.",programlanabilir;zaman,https://destek.entes.com.tr/spaces/SP/pages/983175/Programlanabilir+Zaman+Saatleri+Nedir+ve+Ne+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,"RGA Serisi , RGSR Serisi",RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Sabit Grup Ayarı Nasıl Yapılır?,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Sabit Grup Ayarı Nasıl Yapılır?,"Cihaz menüsünden sabit grup ayarlama adımına gelinir ve burada bağlanacak olan kondansatörün değeri girilir.
Örnek olarak;
10 kVAr kondansatör bağlanacak ise, ( - ) Negatif simge seçilir ve 10 kVAr yazılır.
10 kVAr şönt reaktör bağlanacak ise, 10 kVAr yazılır.",rgsr-24s-og;reaktif;rga-24s;rgsr-24s;rgsr-15s;röle;sabit;rgsr-20s;rga-15s;rga-20s,https://destek.entes.com.tr/spaces/SP/pages/983279/RGA+RGSR+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Sabit+Grup+Ayar%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic","Enerji Doktoru, Enerthings ve Enermedic' te Özel Alarm Tanımı Nasıl Yapılır?","Enerji Doktoru, Enerthings ve Enermedic' te Özel Alarm Tanımı Nasıl Yapılır? Sistemde Parametreye veya Ölçüm Noktasına Yönelik Özel Alarm Tanımları Yapılabilir mi?","""Kullanıcı Alarmları"" bölümü kullanılarak özel senaryolu alarmlar tanımlanabilir. Bu alarmlar aksiyon bildirim alanlarında ve tercihe göre e-mail olarak iletilebilir. Bir çok kullanıcıda aynı alarmdan bilgi alabilmektedir.",enermedic;enerjidoktoru;alarm;senaryo;enerthings,https://destek.entes.com.tr/spaces/SP/pages/983351/Enerji+Doktoru+Enerthings+ve+Enermedic+te+%C3%96zel+Alarm+Tan%C4%B1m%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Enerji Verimliliği Ürün Grubu,TA - TV,Transduser Nedir ve Ne Amaçla Kullanılır?,Transducer Nedir ve Ne Amaçla Kullanılır?,"Transdüserler girişlerine gelen elektriksel sinyalleri analog sinyallere dönüştürmek için tasarlanmış cihazlardır.
Kontrol ve gösterge cihazlarında kullanılır.
ENTES ürün portföyündeki TA Serisi Akım Transdüserleri ve TV Serisi Gerilim Transdüserleri girişten beslemeli modellerdir, harici beslemeye ihtiyaç duymazlar.",transduser,https://destek.entes.com.tr/spaces/SP/pages/983291/Transduser+Nedir+ve+Ne+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RGA-15S - RGA-20S - RGA-24S - RGSR-15S - RGSR-20S - RGSR-24S,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Akım Alarm Uyarısı Neden Gelir?,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Akım Alarm Uyarısı Neden Gelir?,"Cihazın ölçtüğü faz akımlarından herhangi biri kullanıcı tarafından ayarlanan alt ve üst limitin dışına çıkarsa, ayarlanan çekme gecikmesi sonucunda akım alarmı oluşur.
Bu alarm oluştuğunda, Kademe Koruma “Aktif” olarak ayarlı ise cihaz, kademeleri korumak için tüm kademeleri devre dışı bırakır.
Bu alarm alarm koşulu ortadan kalktığında, ayarlı reset süresi sonunda sıfırlanır.",rgsr-24s;rgsr-15s;rga-15s;rga-24s;alarm;rgsr-20s;rga-20s,https://destek.entes.com.tr/spaces/SP/pages/983540/RGA+RGSR+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Ak%C4%B1m+Alarm+Uyar%C4%B1s%C4%B1+Neden+Gelir
Koruma & Kontrol Ürün Grubu,MCB,MCB Serisi Zaman Rölelerinde Bulunan ER ve EM Fonksiyonları Ne Anlama Gelmektedir?,MCB Serisi Zaman Rölelerinde Bulunan ER ve EM Fonksiyonları Ne Anlama Gelmektedir?,"Modların anlamları ;
ER = Çekmede Gecikmeli: Besleme gerilimi uygulandığında ayarlanan t off bekleme süresi saymaya başlar. t off süresinin bitmesinin ardından röle çıkışı ON konumuna geçer. Cihazın besleme gerilimi kesilene kadar röle çekili konumda kalır. t off süresi bitmeden besleme gerilimi kesilirse, sayılmış zaman silinir ve besleme gerilimi tekrar uygulandığında t off süresi tekrar saymaya başlar.
EM = Bırakmada Gecikmeli: Besleme gerilimi uygulandığında röle çeker ve ayarlanan ton süresi saymaya başlar. ton süresi sonunda röle çıkışı OFF konumuna geçer. Cihazın besleme gerilimi kesilene kadar röle konumunu korur. t on süresi bitmeden besleme gerilimi kesilirse sayılmış zaman silinir ve besleme gerilimi tekrar uygulandığında t on süresi tekrar saymaya başlar",mcb,https://destek.entes.com.tr/spaces/SP/pages/983494/MCB+Serisi+Zaman+R%C3%B6lelerinde+Bulunan+ER+ve+EM+Fonksiyonlar%C4%B1+Ne+Anlama+Gelmektedir
Koruma & Kontrol Ürün Grubu,"DTR-20S  , DTR-20TS",DTR-20S Astronomik Zaman Rölesinde Modbus Haberleşme Özelliği ile Röle Nasıl Çektirilir?,DTR-20S Astronomik Zaman Rölesinde Modbus Haberleşme Özelliği ile Röle Nasışl Çektirilir?,Decimal 8000 adresine 1 veya 0 komutu gönderildiğinde uzaktan röleyi açık ya da kapalı konumuna alabilirsiniz.,modbus;dtr-20ts;dtr-20s,https://destek.entes.com.tr/spaces/SP/pages/983449/DTR-20S+Astronomik+Zaman+R%C3%B6lesinde+Modbus+Haberle%C5%9Fme+%C3%96zelli%C4%9Fi+ile+R%C3%B6le+Nas%C4%B1l+%C3%87ektirilir
Enerji Verimliliği Ürün Grubu,EPR Serisi,EPR Serisi Güç ve Enerji Ölçer Cihazlardan Pulse Çıkışı ile Test Nasıl Yapılır?,EPR Serisi Güç ve Enerji Ölçer Cihazlardan Pulse Çıkışı ile Test Nasıl Yapılır?,"ENTES EPR Serisi Güç ve Enerji Ölçer ürünlerinin pulse çıkışı NPN özellikli tristör olduğundan pulse çıkış testi, ölçü aletiyle yapılamamaktadır.
Yapılması gereken ise pulse çıkışı özelliğine sahip bir aparatla test etmenizdir. Aparatın özelliği; üzerinde bir adet pil ve pulse1 çıkışı için 1 adet pulse2 çıkışı için 1 adet led diyot bulunan bir devre hazırlamaktır.
Pilin negatif ucu pulse çıkışına denk gelecek şekilde devre kurulmalı ve güç ve enerji ölçerin pulse çıkışına montajı yapılmalıdır.
Daha sonra ölçümü yapılacak makine çalıştırılır. Makine enerji harcamaya başladığında set edilen değere geldiğinde pulse çıkışı aktif olur, yapılan aparat üzerinde bulunan led yanar ve pulse çıkışı test edilmiş olur.",epr-04-din;epr-04s;epr-04;epr-04s-din;pulse,https://destek.entes.com.tr/spaces/SP/pages/983503/EPR+Serisi+G%C3%BC%C3%A7+ve+Enerji+%C3%96l%C3%A7er+Cihazlardan+Pulse+%C3%87%C4%B1k%C4%B1%C5%9F%C4%B1+ile+Test+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RG3 Serisi,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Kondansatör Deşarj Süresi ( Zamanı) Nasıl Ayarlanır?,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Kondansatör Deşarj Süresi ( Zamanı) Nasıl Ayarlanır?,"Menüye erişim sağlamak için ; ""SET"" düğmesine basılı tutulur ve ""AUTO"" menüsü gelir.
""Yukarı veya Aşağı"" Yön tuşları yardımıyla ilerlenir ve ""DELY"" Menüsüne gelinip ""SET"" tuşuna basılır.
""DELY"" Menüsünün içerisinde ""Yukarı Ok"" ile ilerlenip ""T-RC"" Menüsüne gelinip ""SET"" tuşuna basılır.
Bu menüde kondansatörlerin Deşarj Zamanı istenilen değer kadar ayarlanıp ""SET"" tuşuna basılır.
""ESC"" tuşuna basılarak ""SAVE SET / YES"" ( Ayarlar Kaydedilsin Mi? ) yazısı görülür ve ""SET"" tuşu yardımı ile onaylanır.",kompanzasyon;rg3-serisi;reaktif;röle,https://destek.entes.com.tr/spaces/SP/pages/983528/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Kondansat%C3%B6r+De%C5%9Farj+S%C3%BCresi+Zaman%C4%B1+Nas%C4%B1l+Ayarlan%C4%B1r
Enerji Verimliliği Ürün Grubu,ECR-3,"ECR Serisi Cosφmetreler, Reaktif Güç Kontrol Rölesi ile Birlikte Kullanılır mı?","ECR Serisi Cosφmetreler, Reaktif Güç Kontrol Rölesi ile Birlikte Kullanılır mı?","Cosφmetre, işletmeye uygun "".../5A"" çevirme oranına sahip bir akım trafosuyla şebekeye bağlanır. Bağlantı yapılırken, besleme geriliminin akım trafosunun bağlandığı fazdan alınmasına çok dikkat edilmelidir.
Akım ölçme girişi, cihaz içinde yer alan 5A nominal girişli bir trafo üzerinden gerçekleştiğinden, ana akım redüktörüne yüklenemez ve reaktif güç kontrol rölesi ile tek akım redüktöründen seri bağlanmak suretiyle kullanılabilir.",cosf;reaktif;kontrol;güç;ecr;rölesi,https://destek.entes.com.tr/spaces/SP/pages/983248/ECR+Serisi+Cos%CF%86metreler+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lesi+ile+Birlikte+Kullan%C4%B1l%C4%B1r+m%C4%B1
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic",Enerji Doktoru' nda Tesis Kıyaslaması için Filtre Nasıl Uygulanır?,Tesis kıyaslama menüsünü nasıl filtreli şekilde kullanabiliyoruz?,"Tesislerin oluşturulması aşamasında ""Kategori(ler)"" seçeneğinde "" etiketleme"" yapıldığı takdirde, tesis kıyaslama menüsü içerisinde bu etiketler sayesinde kolaylıkla filtreleme yapılabilmektedir.",enermedic;filtre;kategori;kıyaslama;enerthings;enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/983252/Enerji+Doktoru+nda+Tesis+K%C4%B1yaslamas%C4%B1+i%C3%A7in+Filtre+Nas%C4%B1l+Uygulan%C4%B1r
Koruma & Kontrol Ürün Grubu,DTR Serisi,"DTR Serisi Astronomik Zaman Rölesi Ekranında “SERVİS"" Yazması Durumunda Ne Yapılmalıdır?","DTR Serisi Astronomik Zaman Rölesi Ekranında “SERVİS"" Yazması Durumunda Ne Yapılmalıdır?","Servis modunu seçmek için öncelikle kilit modunun seçilmemiş olması gerekir. Servis moduna giriş için ana menü ekranında iken yukarı ve aşağı tuşlarına aynı anda basmak gerekir.
Bu mod seçili iken atanmış olan programlar röle konumlarını değiştiremez ve ekranda ""SERVİS"" yazısı kilit işaretleri çıkar.
Servis modundan çıkmak için de aynı şekilde yukarı ve aşağı tuşlarına aynı anda basmak gerekir. Servis modundan çıkıldığında ""SERVİS"" yazısı yerine tarih bilgisi gelir ve kilit işaretleri kalkar.",servis;dtr,https://destek.entes.com.tr/spaces/SP/pages/983418/DTR+Serisi+Astronomik+Zaman+R%C3%B6lesi+Ekran%C4%B1nda+%E2%80%9CSERV%C4%B0S+Yazmas%C4%B1+Durumunda+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Kompanzasyon Ürün Grubu,SPD-S - SPD-D,SPD Serisi Darbe Gerilimi Koruma Cihazlarına Sigorta Bağlanmalı mıdır ?,SPD Serisi Darbe Gerilimi Koruma Cihazlarına Sigorta Bağlanmalı mıdır ?,"SPD Serisi darbe gerilimi koruma cihazları, yüksek enerjili darbe gerilimlerinin hassas cihazları tehdit ettiği ortamlarda, bu darbe gerilimlerinin enerjisini kendi üzerine alarak cihazların hasar görmesini önlemektedir.
Cihazlarımız tek kullanımlık olduğu için darbeyi aldığı zaman kendisi zarar görür. Oluşan zararı kullanıcı tarafından bilinmesi için mutlaka bir yardımcı kontağı olmalı ve bu yardımcı kontak ışıklı ya da sesli uyarı sistemine bağlanmalıdır.
Aksi takdirde SPD arızalanıp sigorta atınca sistemin çalışması normal şekilde devam edeceği için ilgililer bu durumu fark edemeyebilirler. Bu noktadan sonra sistem darbe gerilimlerine karşı savunmasız kalmış olur.
SPD ye bağlı olan sigorta attığında gelen darbe gerilimlerinin etkisiyle SPD içindeki varistörlerden biri kısa devre olmuş demektir. Bu durumda SPD cihazının yenisiyle değiştirilmesi gerekir.
Korumanın devamlı olabilmesi için cihaz sisteme mutlaka ayrı bir sigortayla bağlanmalıdır.",spd;spd-s;spd-d;-,https://destek.entes.com.tr/spaces/SP/pages/983367/SPD+Serisi+Darbe+Gerilimi+Koruma+Cihazlar%C4%B1na+Sigorta+Ba%C4%9Flanmal%C4%B1+m%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,EMG GEM,EMG veya GEM Serisi Modemler Nedir ve Ne Amaçla Kullanılır?,EMG veya GEM Serisi Modemler Nedir ve Ne Amaçla Kullanılır?,"GEM ve EMG serisi modemler, RS-485 haberleşme özellikli cihazların GPRS ve/veya Ethernet ağı üzerinden internet ortamına çıkmasına ve enerji izleme yazılımlarına ölçülen parametrelerin aktarılmasını sağlarlar.
Ayrıca modemler çift yönlü olarak Modbus protokolü ile haberleşen cihazlara GPRS veya Ethernet ağı üzerinden erişim imkanı sunarlar.
Modemlerin, konfigurasyon ayarlarının yapılması için Modbus Gateway Configuration Tool programının kullanılması gerekmektedir.
Buraya tıklayarak ulaşabilirsiniz.",emg;gem,https://destek.entes.com.tr/spaces/SP/pages/983188/EMG+veya+GEM+Serisi+Modemler+Nedir+ve+Ne+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RGA/RGSR,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Kademelerin Manuel Olarak Belli Bir Süre Kalması Mümkün müdür?,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Kademelerin Manuel Olarak Belli Bir Süre Kalması Mümkün müdür?,"RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde "" F5"" tuşuna basılarak otomatik kademe çekme işlemini yapılabilir.
Fakat reaktif güç kontrol rölesi, manuel kademe çekme işleminden 15 dakika sonra Cos değerine göre kendini otomatik olarak eski haline geri getirir.
Manuel kademe çekme özelliği kendini sistematik olarak tekrarlayamaz yada belli bir süre girilerek çekili kalması sağlanamaz.",kademe;rga;rgsr-20s;rgsr-15s,https://destek.entes.com.tr/spaces/SP/pages/983237/RGA+RGSR+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Kademelerin+Manuel+Olarak+Belli+Bir+S%C3%BCre+Kalmas%C4%B1+M%C3%BCmk%C3%BCn+m%C3%BCd%C3%BCr
Kompanzasyon Ürün Grubu,"ENT.SRS1.230/10;-;ENT.SRS1.230/6,66;-;ENT.SRS1.230/3,33;-;ENT.SRS1.230/1,66;-;ENT.SRS1.230/1",ENT.SRS Serisi Monofaze Şönt Reaktörlerin Aktif Tüketim Kayıpları Ne Kadardır ?,ENT.SRS Serisi Monofaze Şönt Reaktörlerin Aktif Tüketim Kayıpları Ne Kadardır ?,"Şönt reaktörlerin aktif kayıpları aşağıdaki gibidir. Değerler verilen aralıklarda değişebilir.
1 kVAr aktif kayıp  60-70W 1,5 kVAr aktif kayıp 80-90W 1,66 kVAr aktif kayıp 85-95W 2,5 kVAr aktif kayıp 125-140W 3,33 kVAr aktif kayıp 135-150W 6,66 kVAr aktif kayıp 200-220W 10 kVAr aktif kayıp 320-350W",şönt,https://destek.entes.com.tr/spaces/SP/pages/983289/ENT.SRS+Serisi+Monofaze+%C5%9E%C3%B6nt+Reakt%C3%B6rlerin+Aktif+T%C3%BCketim+Kay%C4%B1plar%C4%B1+Ne+Kadard%C4%B1r
Kompanzasyon Ürün Grubu,ENT.IST,ENT.IST Serisi İzolasyon Trafoları Hangi Amaçla Kullanılır?,"Nötr hat olan bir işletmede, hassas elektronik cihazlar olduğu için nötrdeki bozulmalardan sistem etkilenebiliyor.","ENTES izolasyon trafoları, sekonder tarafını, primer geriliminden izole ederek cihazların güvenli çalışmasına olanak sağlar.
İzolasyon trafolarının giriş ve çıkış gerilimleri 230V veya 400V olmak üzere sabittir.
Genellikle galvanik izolasyon gereken yerlerde ve nötr noktası olmayan şebekelerde nötr noktası elde edebilmek için izolasyon trafoları kullanılmaktadır.",komp;izolasyon;trafo;nötr,https://destek.entes.com.tr/spaces/SP/pages/983393/ENT.IST+Serisi+%C4%B0zolasyon+Trafolar%C4%B1+Hangi+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Enerji Yönetimi Ürün Grubu,Entbus Pro,ENTBUS Pro'da Sanal Cihaz Nasıl Oluşturulur?,Sanal cihaz nasıl oluşturulur? Enerji hesaplamak için nelere dikkat edilmelidir?,"Öncelikle sanal cihaz ile ilgili hizmetin kurulu ve çalışıyor olması gerekmektedir. Bu konuda destek talebinde bulunarak çözüm elde edebilirsiniz.
Sanal cihaz oluşturmak için aşağıdaki işlemleri sırasıyla uygulayınız;
""Bağlantı noktaları"" bölümüne yeni sanal modem ekleyiniz. Ekleme esnasında “ İsim, Okuma aralığı” bilgilerini belirtiniz. ""Cihazlar"" menüsüne yeni cihaz ekleme adımı ile sanal cihaz modeli ile devam ediniz. Ekleme adımında “Üst birim, isim, kaydetme aralığı” bilgilerini belirtiniz. Ve ""kayıt"" ile işlemi tamamlayınız. Tekrar tanımladığınız X isimli cihazı “Düzenle” seçeneği ile açarak, ""detay ekle"" butonu ile formülasyon alanına erişiniz. Açılan pop-up ekranda gerçek cihazların enerji parametreleri ile yapmak istediğiniz hesaplamayı formüle ediniz. Bu hesaplamada kullanacağınız cihazların haberleşmeme durumlarına yönelik işlemin durması için “Haberleşmeyen Cihazlar Etkisiz Sayılır” seçeneğini kapatınız. Sırası ile ekranları kayıt ederek işlemi tamamlayabilirsiniz. Artık ""anlık izleme"" ekranında takip sağlanabilir.",formül;entbuspro;sanal;virtual,https://destek.entes.com.tr/spaces/SP/pages/983471/ENTBUS+Pro+da+Sanal+Cihaz+Nas%C4%B1l+Olu%C5%9Fturulur
Enerji Verimliliği Ürün Grubu,MPR-4X Serisi,MPR-4X Serisi Enerji Analizörlerinde THD ve Harmonik Ekranları Nasıl Görüntülenir?,MPR-4X Serisi Enerji Analizörlerinde THD ve Harmonik Ekranları Nasıl Görüntülenir?,"THD ölçüm destekleyen modellerde sadece akım ve gerilim THD ekranları gözlenir. Detaylı Harmonik ölçümü destekleyen modellerde ise akım ve gerilimin ayrı ayrı harmonik ekranları izlenebilir.
""V I F"" tuşuna basılarak Faz - Nötr (VLN) veya Faz - Faz (VLL) gerilim ekranları açılır ve bu durumda THD H (↑) tuşuna basıldığında aşağıdaki ekranlar görünür;
Her bir faz için ölçülen Faz - Nötr veya Faz-Faz Gerilim Toplam Harmonik Bozulma değerlerini görüntüleyebilirsiniz. Her bir faz için ölçülen Faz-Nötr veya Faz-Faz Gerilimlerde ayrıntılı Toplam Harmonik Bozulmaları 51. harmoniğe kadar görüntüleyebilirsiniz.
""V I F"" tuşuna basılarak akım ekranları açılır ve bu durumda THD H (↑) tuşuna basıldığında aşağıdaki ekranlar görünür;
Her bir faz için ölçülen Akım ayrıntılı Toplam Harmonik Bozulmaları 51. harmoniğe kadar görüntüleyebilirsiniz.",mpr-4;harmonik;akım;analizör;şebeke,https://destek.entes.com.tr/spaces/SP/pages/983368/MPR-4X+Serisi+Enerji+Analiz%C3%B6rlerinde+THD+ve+Harmonik+Ekranlar%C4%B1+Nas%C4%B1l+G%C3%B6r%C3%BCnt%C3%BClenir
Koruma & Kontrol Ürün Grubu,FR-02,"FR-02 Faz Sırası Rölesi Nedir, Ne Amaçla Kullanılır?","FR-02 Faz Sırası Rölesi Nedir, Ne Amaçla Kullanılır?","FR-02 Faz Sırası Rölesi, motorları besleyen 3 fazın sırasını kontrol eden donanımdır. Faz sırası rölesi, hava kompresörler, asansörler vb. sistemlerdeki 3 fazlı motorların korunması için kullanılır.
Eğer R, S ve T fazları doğru sırada ise, ön panel üzerindeki ışık yanar (ON). Faz sıralaması yanlış ise ışık söner (OFF) ve çıkış rölesi bırakır (OFF).
FR-02'nin motorların ters dönmesinin insanlara veya sistemlere hasar verebileceği yerlerde kullanılması önerilmektedir.",faz,https://destek.entes.com.tr/spaces/SP/pages/983446/FR-02+Faz+S%C4%B1ras%C4%B1+R%C3%B6lesi+Nedir+Ne+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RG3 Serisi,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Alarm Rölesi Nasıl Kullanılır?,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Alarm Rölesi Nasıl Kullanılır?,"RG3 Serisi Reaktif Güç Kontrol Rölelerinde Alarm rölesi, cihazın sol alt tarafında bulunan hata ledlerinin herhangi birisinin oluşması durumunda aktif olur.
Bu alarmlar ;
:  Bağlantı hatası ledi, Akım ve Gerilim bağlantılarında hata varsa yanar. Bağlantılar elle düzeltildiğinde veya otomatik setup yapıldığında söner.
: Aşırı harmonik ledi, Gerilim harmonik değeri harmonik alarm ayarının üzerine çıktığında yanar.
V> : Aşırı gerilim ledi, Faz gerilimleri,  ayarlanan gerilim alarm değerinin üzerine çıktığında yanar.
% : Oran hatası ledi. Kompanzasyon oranları cihazda ayarlanan alarm değerlerinin üzerine çıktığında yanar.
≠ : Bu led, eksik kompanzasyon ,aşırı kompanzasyon  ve kademelerin hatalı seçilmesi durumunda yanar.
= : Kademe arızası ledi. Bu led kademelerden herhangi birinin arızalanması durumunda yanar.
: Alarm ledi, herhangi bir hata oluştuğunda alarm rölesinin çektiğini gösterir.",rg3;alarm,https://destek.entes.com.tr/spaces/SP/pages/983236/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Alarm+R%C3%B6lesi+Nas%C4%B1l+Kullan%C4%B1l%C4%B1r
Enerji Verimliliği Ürün Grubu,MPR-6X,MPR-6X Serisi Enerji Analizörlerinde Cihaza Ait Seri Numarası Modbus Poll Yazılımı ile nasıl okunur?,MPR-6X Serisi Enerji Analizörlerinde Cihaza Ait Seri Numarası Modbus Poll Yazılımı ile nasıl okunur?,"Decimal 353 adresine 4 word (353 adresi ve sonrasındaki 3 adres için 354, 355, 356) ,Hex-ASCII formatında sorgu atılarak cihaza ait seri no, modbus üzerinden okunabilir. Aşağıda örnek sorgu cevabını görebilirisiniz.",mpr,https://destek.entes.com.tr/spaces/SP/pages/983582/MPR-6X+Serisi+Enerji+Analiz%C3%B6rlerinde+Cihaza+Ait+Seri+Numaras%C4%B1+Modbus+Poll+Yaz%C4%B1l%C4%B1m%C4%B1+ile+nas%C4%B1l+okunur
